Title,Public model weights,duration of model training or optimization,energy consumption,location,GHG emissions
Uncertain Local-to-Global Networks for Document-Level Event Factuality Identification,0,0,0,0,0
Reference-Centric Models for Grounded Collaborative Dialogue,0,0,0,0,0
Distantly Supervised Relation Extraction using Multi-Layer Revision Network and Confidence-based Multi-Instance Learning,0,0,0,0,0
Perspective-taking and Pragmatics for Generating Empathetic Responses Focused on Emotion Causes,0,0,0,0,0
What’s Hidden in a One-layer Randomly Weighted Transformer?,0,0,0,0,0
Self-Supervised Curriculum Learning for Spelling Error Correction,0,0,0,0,0
Relation-aware Video Reading Comprehension for Temporal Language Grounding,0,0,0,0,0
"Not All Negatives are Equal:
Label-Aware Contrastive Loss for Fine-grained Text Classification",0,0,0,0,0
Examining Cross-lingual Contextual Embeddings with Orthogonal Structural Probes,0,0,0,0,0
OSCAR: Orthogonal Subspace Correction and Rectification of Biases in Word Embeddings,0,0,0,0,0
Explaining Answers with Entailment Trees,0,1,0,0,0
Genre as Weak Supervision for Cross-lingual Dependency Parsing,0,1,0,0,0
Moving on from OntoNotes: Coreference Resolution Model Transfer,1,1,0,0,0
Unsupervised Paraphrasing with Pretrained Language Models,0,0,0,0,0
Unsupervised Data Augmentation with Naive Augmentation and without Unlabeled Data,0,0,0,0,0
"A Label-Aware BERT Attention Network for Zero-Shot Multi-Intent Detection in Spoken Language Understanding
",0,0,0,0,0
Can We Improve Model Robustness through Secondary Attribute Counterfactuals?,0,0,0,0,0
Enhanced Language Representation with Label Knowledge for Span Extraction,0,0,0,0,0
We Need to Talk About train-dev-test Splits,0,0,0,0,0
Joint Multi-modal Aspect-Sentiment Analysis with Auxiliary Cross-modal Relation Detection,0,0,0,0,0
"TransferNet: An Effective and Transparent Framework for Multi-hop Question Answering over Relation Graph
",0,1,0,0,0
"SgSum:Transforming Multi-document Summarization into Sub-graph Selection
",0,0,0,0,0
Mutual-Learning Improves End-to-End Speech Translation,0,0,0,0,0
"Improving Federated Learning for Aspect-based Sentiment Analysis via Topic Memories
",0,0,0,0,0
TEMP: Taxonomy Expansion with Dynamic Margin Loss through Taxonomy-Paths,0,0,0,0,0
COUGH: A Challenge Dataset and Models for COVID-19 FAQ Retrieval,0,0,0,0,0
Large-Scale Relation Learning for Question Answering over Knowledge Bases with Pre-trained Language Models,0,1,0,0,0
A Fine-Grained Domain Adaption Model for Joint Word Segmentation and POS Tagging,0,0,0,0,0
Label-Enhanced Hierarchical Contextualized Representation for Sequential Metaphor Identification,0,0,0,0,0
GMH: A General Multi-hop Reasoning Model for KG Completion,0,0,0,0,0
